Category,Fips,Metro Area2,Metro area,Number of Records,Share
25-34,10180,"Abilene, TX (10180)","Abilene, TX Metro Area",1,39.2%
25-34,10420,"Akron, OH (10420)","Akron, OH Metro Area",1,31.9%
25-34,10500,"Albany, GA (10500)","Albany, GA Metro Area",1,16.8%
25-34,10540,"Albany, OR (10540)","Albany, OR Metro Area",1,34.3%
25-34,10580,"Albany-Schenectady-Troy, NY (10580)","Albany-Schenectady-Troy, NY Metro Area",1,39.1%
25-34,10740,"Albuquerque, NM (10740)","Albuquerque, NM Metro Area",1,22.2%
25-34,10780,"Alexandria, LA (10780)","Alexandria, LA Metro Area",1,28.3%
25-34,10900,"Allentown-Bethlehem-Easton, PA-NJ (10900)","Allentown-Bethlehem-Easton, PA-NJ Metro Area",1,43.2%
25-34,11020,"Altoona, PA (11020)","Altoona, PA Metro Area",1,23.7%
25-34,11100,"Amarillo, TX (11100)","Amarillo, TX Metro Area",1,25.5%
25-34,11180,"Ames, IA (11180)","Ames, IA Metro Area",1,50.9%
25-34,11260,"Anchorage, AK (11260)","Anchorage, AK Metro Area",1,30.3%
25-34,11460,"Ann Arbor, MI (11460)","Ann Arbor, MI Metro Area",1,31.8%
25-34,11500,"Anniston-Oxford-Jacksonville, AL (11500)","Anniston-Oxford-Jacksonville, AL Metro Area",1,43.1%
25-34,11540,"Appleton, WI (11540)","Appleton, WI Metro Area",1,46.9%
25-34,11700,"Asheville, NC (11700)","Asheville, NC Metro Area",1,21.7%
25-34,12020,"Athens-Clarke County, GA (12020)","Athens-Clarke County, GA Metro Area",1,23.5%
25-34,12060,"Atlanta-Sandy Springs-Roswell, GA (12060)","Atlanta-Sandy Springs-Roswell, GA Metro Area",1,28.4%
25-34,12100,"Atlantic City-Hammonton, NJ (12100)","Atlantic City-Hammonton, NJ Metro Area",1,19.4%
25-34,12220,"Auburn-Opelika, AL (12220)","Auburn-Opelika, AL Metro Area",1,32.8%
25-34,12260,"Augusta-Richmond County, GA-SC (12260)","Augusta-Richmond County, GA-SC Metro Area",1,32.6%
25-34,12420,"Austin-Round Rock, TX (12420)","Austin-Round Rock, TX Metro Area",1,25.2%
25-34,12540,"Bakersfield, CA (12540)","Bakersfield, CA Metro Area",1,26.4%
25-34,12580,"Baltimore-Columbia-Towson, MD (12580)","Baltimore-Columbia-Towson, MD Metro Area",1,38.8%
25-34,12620,"Bangor, ME (12620)","Bangor, ME Metro Area",1,20.3%
25-34,12700,"Barnstable Town, MA (12700)","Barnstable Town, MA Metro Area",1,6.0%
25-34,12940,"Baton Rouge, LA (12940)","Baton Rouge, LA Metro Area",1,25.6%
25-34,12980,"Battle Creek, MI (12980)","Battle Creek, MI Metro Area",1,16.0%
25-34,13020,"Bay City, MI (13020)","Bay City, MI Metro Area",1,19.9%
25-34,13140,"Beaumont-Port Arthur, TX (13140)","Beaumont-Port Arthur, TX Metro Area",1,13.7%
25-34,13220,"Beckley, WV (13220)","Beckley, WV Metro Area",1,25.4%
25-34,13380,"Bellingham, WA (13380)","Bellingham, WA Metro Area",1,17.7%
25-34,13460,"Bend-Redmond, OR (13460)","Bend-Redmond, OR Metro Area",1,21.1%
25-34,13740,"Billings, MT (13740)","Billings, MT Metro Area",1,33.3%
