"Row headings are column A and column headings are rows 5, 28, 51, 74, 97, 123, 147, 171, 195, and 219.  Leading dots indicate sub-parts. ",,,,,,,,,,,,,,,,,
"Table 19. Homeownership Rates for the Midwest, by Age of Householder, ",,,,,,,,,,,,,,,,,
                  and for Married-couple Families: 1982 to 2017,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,1982,1983,1984,1985,1986,1987,1988,1989,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Midwest, total........................",69.4 ,69.3 ,68.4 ,66.9 ,66.9 ,67.3 ,67.5 ,67.7 ,,,,,,,,,
,,,,,,,,,,,,,,,,,
...Less than 25 years..............................................,21.7 ,20.3 ,19.3 ,17.8 ,16.7 ,16.0 ,16.1 ,16.5 ,,,,,,,,,
...25 to 29 years........................................................,45.1 ,44.5 ,42.9 ,40.3 ,40.0 ,40.4 ,40.5 ,38.9 ,,,,,,,,,
...30 to 34 years..........................................................,62.5 ,62.9 ,60.6 ,58.9 ,59.2 ,58.3 ,59.1 ,59.4 ,,,,,,,,,
...35 to 39 years........................................................,74.9 ,72.9 ,71.4 ,70.7 ,70.2 ,69.4 ,68.6 ,69.7 ,,,,,,,,,
...40 to 44 years......................................................,78.7 ,78.6 ,77.5 ,75.7 ,75.2 ,75.6 ,76.8 ,76.9 ,,,,,,,,,
...45 to 49 years........................................................,81.2 ,80.6 ,80.0 ,78.8 ,79.2 ,79.5 ,79.6 ,79.1 ,,,,,,,,,
...50 to 54 years.......................................................,83.9 ,83.1 ,82.8 ,81.2 ,81.3 ,82.2 ,81.3 ,82.0 ,,,,,,,,,
...55 to 59 years........................................................,84.4 ,84.4 ,84.1 ,83.7 ,84.5 ,83.7 ,81.9 ,82.1 ,,,,,,,,,
...60 to 64 years.........................................................,83.0 ,83.8 ,83.4 ,82.1 ,82.5 ,84.3 ,83.9 ,83.4 ,,,,,,,,,
...65 to 69 years.........................................................,83.4 ,83.3 ,83.6 ,82.2 ,82.0 ,81.4 ,82.0 ,82.3 ,,,,,,,,,
...70 to 74 years........................................................,78.7 ,78.9 ,78.5 ,78.7 ,79.5 ,79.3 ,79.1 ,79.4 ,,,,,,,,,
...75 years and over.................................................,74.5 ,74.6 ,74.0 ,69.2 ,69.4 ,70.8 ,71.2 ,71.6 ,,,,,,,,,
,,,,,,,,,,,,,,,,,
…..Less than 35 years.............................................,45.8 ,45.8 ,44.4 ,42.8 ,42.6 ,42.9 ,43.2 ,43.0 ,,,,,,,,,
…..35 to 44 years.........................................................,76.6 ,75.4 ,74.1 ,73.0 ,72.4 ,72.2 ,72.3 ,73.0 ,,,,,,,,,
…..45 to 54 years.....................................................,82.5 ,81.9 ,81.4 ,80.0 ,80.3 ,80.8 ,80.4 ,80.4 ,,,,,,,,,
…..55 to 64 years......................................................,83.7 ,84.1 ,83.7 ,82.9 ,83.5 ,84.0 ,83.0 ,82.8 ,,,,,,,,,
…..65 years and over.............................................,78.5 ,78.6 ,78.3 ,75.9 ,76.0 ,76.3 ,76.5 ,76.9 ,,,,,,,,,
,,,,,,,,,,,,,,,,,
,1990 ,1991 ,1992 ,1993 ,1993r1,1994 ,1995 ,1996 ,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Midwest, total.......................",67.5 ,67.2 ,67.2 ,67.4 ,67.1 ,67.7 ,69.2 ,70.6 ,,,,,,,,,
,,,,,,,,,,,,,,,,,
...Less than 25 years..............................................,16.5 ,17.5 ,16.2 ,14.9 ,14.7 ,16.4 ,18.2 ,20.0 ,,,,,,,,,
...25 to 29 years........................................................,38.6 ,37.2 ,37.6 ,38.4 ,38.2 ,39.1 ,40.5 ,41.0 ,,,,,,,,,
...30 to 34 years..........................................................,57.1 ,56.8 ,56.6 ,57.3 ,57.1 ,57.2 ,60.0 ,61.3 ,,,,,,,,,
...35 to 39 years........................................................,69.6 ,68.4 ,68.3 ,67.8 ,67.6 ,67.0 ,68.8 ,69.6 ,,,,,,,,,
...40 to 44 years......................................................,76.1 ,74.2 ,73.5 ,74.2 ,73.9 ,74.1 ,75.7 ,75.8 ,,,,,,,,,
...45 to 49 years........................................................,78.1 ,78.6 ,78.7 ,79.3 ,79.2 ,79.2 ,79.9 ,80.6 ,,,,,,,,,
...50 to 54 years.......................................................,82.7 ,79.2 ,79.8 ,82.0 ,82.1 ,82.0 ,81.4 ,82.7 ,,,,,,,,,
...55 to 59 years........................................................,82.8 ,84.0 ,83.2 ,82.0 ,82.2 ,81.7 ,83.7 ,85.0 ,,,,,,,,,
...60 to 64 years.........................................................,82.9 ,83.4 ,84.2 ,84.3 ,84.4 ,84.2 ,82.7 ,83.9 ,,,,,,,,,
...65 to 69 years.........................................................,82.1 ,83.1 ,82.7 ,82.7 ,82.9 ,83.4 ,83.6 ,85.0 ,,,,,,,,,
...70 to 74 years........................................................,79.2 ,78.6 ,77.5 ,79.4 ,79.4 ,81.6 ,82.8 ,84.3 ,,,,,,,,,
...75 years and over.................................................,71.3 ,71.6 ,72.0 ,71.9 ,72.0 ,72.2 ,74.0 ,75.2 ,,,,,,,,,
,,,,,,,,,,,,,,,,,
…..Less than 35 years.............................................,41.8 ,41.6 ,41.6 ,41.5 ,41.1 ,41.7 ,43.8 ,44.9 ,,,,,,,,,
…..35 to 44 years.........................................................,72.6 ,71.2 ,70.8 ,70.9 ,70.6 ,70.4 ,72.1 ,72.6 ,,,,,,,,,
…..45 to 54 years.....................................................,80.2 ,78.9 ,79.2 ,80.6 ,80.5 ,80.5 ,80.6 ,81.5 ,,,,,,,,,
…..55 to 64 years......................................................,82.9 ,83.7 ,83.7 ,83.1 ,83.3 ,82.9 ,83.2 ,84.5 ,,,,,,,,,
…..65 years and over.............................................,76.7 ,76.9 ,76.5 ,77.0 ,77.1 ,77.9 ,78.9 ,80.2 ,,,,,,,,,
,,,,,,,,,,,,,,,,,
,1997 ,1998 ,1999 ,2000 ,2001 ,2002 ,2002r2,2003 ,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Midwest, total.......................",70.5 ,71.1 ,71.7 ,72.5,73.1 ,73.1 ,73.1 ,73.2 ,,,,,,,,,
,,,,,,,,,,,,,,,,,
...Less than 25 years..............................................,19.5 ,20.6 ,22.4 ,24.8,24.6 ,25.5 ,25.4 ,26.2 ,,,,,,,,,
...25 to 29 years........................................................,42.8 ,43.3 ,44.4 ,45.7,46.0 ,47.4 ,47.1 ,47.0 ,,,,,,,,,
...30 to 34 years..........................................................,60.0 ,62.9 ,63.2 ,64.3,63.9 ,63.6 ,63.4 ,64.7 ,,,,,,,,,
...35 to 39 years........................................................,70.6 ,71.4 ,71.6 ,72.6,74.3 ,72.6 ,72.5 ,73.8 ,,,,,,,,,
...40 to 44 years......................................................,76.4 ,76.1 ,76.1 ,76.9,76.6 ,78.1 ,78.1 ,77.4 ,,,,,,,,,
...45 to 49 years........................................................,79.6 ,78.8 ,81.2 ,80.4,81.0 ,80.5 ,80.5 ,80.6 ,,,,,,,,,
