"Row headings are column A and column headings are rows 5, 28, 51, 74, 97, 123, 147, 171, 195, and 219.  Leading dots indicate sub-parts. ",,,,,,,,,,,,,,,,,,,,,,,
"Table 18. Homeownership Rates for the Northeast, by Age of Householder, ",,,,,,,,,,,,,,,,,,,,,,,
                  and for Married-couple Families: 1982 to 2017,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,1982,1983,1984,1985,1986,1987,1988,1989,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
"Northeast, total............................",61.1 ,61.5 ,61.2 ,60.8 ,61.4 ,61.7 ,61.3 ,62.0 ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
...Less than 25 years..............................................,13.1 ,13.8 ,13.2 ,13.7 ,15.0 ,15.0 ,14.0 ,16.8 ,,,,,,,,,,,,,,,
...25 to 29 years........................................................,32.3 ,32.3 ,34.8 ,34.4 ,33.4 ,34.2 ,34.8 ,35.0 ,,,,,,,,,,,,,,,
...30 to 34 years..........................................................,53.3 ,52.2 ,51.2 ,50.6 ,51.0 ,51.6 ,51.8 ,53.8 ,,,,,,,,,,,,,,,
...35 to 39 years........................................................,62.2 ,63.0 ,63.9 ,63.0 ,62.7 ,61.8 ,61.9 ,62.5 ,,,,,,,,,,,,,,,
...40 to 44 years......................................................,69.3 ,69.3 ,69.1 ,67.9 ,68.8 ,68.8 ,68.1 ,68.6 ,,,,,,,,,,,,,,,
...45 to 49 years........................................................,70.9 ,70.3 ,69.3 ,69.7 ,70.4 ,70.5 ,70.3 ,70.9 ,,,,,,,,,,,,,,,
...50 to 54 years.......................................................,73.5 ,75.3 ,74.2 ,73.7 ,74.8 ,74.1 ,73.1 ,72.3 ,,,,,,,,,,,,,,,
...55 to 59 years........................................................,75.4 ,76.4 ,75.7 ,74.7 ,76.4 ,75.1 ,74.6 ,74.2 ,,,,,,,,,,,,,,,
...60 to 64 years.........................................................,74.8 ,73.2 ,73.1 ,74.2 ,74.7 ,75.0 ,74.5 ,74.7 ,,,,,,,,,,,,,,,
...65 to 69 years.........................................................,70.0 ,71.6 ,72.2 ,71.8 ,73.3 ,74.6 ,73.7 ,74.7 ,,,,,,,,,,,,,,,
...70 to 74 years........................................................,68.0 ,67.6 ,66.8 ,67.0 ,66.5 ,68.5 ,69.5 ,70.5 ,,,,,,,,,,,,,,,
...75 years and over.................................................,61.3 ,62.9 ,60.8 ,59.6 ,60.7 ,60.8 ,60.3 ,61.3 ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
…..Less than 35 years.............................................,37.4 ,37.6 ,38.0 ,37.9 ,38.1 ,38.7 ,39.0 ,40.5 ,,,,,,,,,,,,,,,
…..35 to 44 years.........................................................,65.4 ,65.9 ,66.3 ,65.3 ,65.5 ,65.1 ,64.9 ,65.4 ,,,,,,,,,,,,,,,
…..45 to 54 years.....................................................,72.3 ,72.8 ,71.8 ,71.7 ,72.6 ,72.2 ,71.6 ,71.5 ,,,,,,,,,,,,,,,
…..55 to 64 years......................................................,75.1 ,74.8 ,74.4 ,74.4 ,75.6 ,75.1 ,74.6 ,74.5 ,,,,,,,,,,,,,,,
…..65 years and over.............................................,66.0 ,67.0 ,66.1 ,65.6 ,66.4 ,67.3 ,67.0 ,68.0 ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,1990 ,1991 ,1992 ,1993 ,1993r1,1994 ,1995 ,1996 ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
"Northeast, total...........................",62.6 ,62.3 ,62.5 ,62.4 ,61.8 ,61.5 ,62.0 ,62.2 ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
...Less than 25 years..............................................,14.6 ,12.3 ,12.8 ,12.8 ,12.3 ,11.7 ,13.1 ,13.3 ,,,,,,,,,,,,,,,
...25 to 29 years........................................................,35.5 ,33.7 ,32.2 ,31.4 ,31.0 ,31.9 ,30.6 ,30.2 ,,,,,,,,,,,,,,,
...30 to 34 years..........................................................,53.7 ,50.0 ,49.6 ,49.8 ,49.3 ,47.5 ,50.2 ,50.2 ,,,,,,,,,,,,,,,
...35 to 39 years........................................................,61.8 ,61.1 ,61.2 ,61.1 ,60.5 ,58.2 ,59.2 ,58.3 ,,,,,,,,,,,,,,,
...40 to 44 years......................................................,68.4 ,68.6 ,68.0 ,66.9 ,66.2 ,65.8 ,65.7 ,66.6 ,,,,,,,,,,,,,,,
...45 to 49 years........................................................,71.7 ,71.0 ,72.4 ,72.1 ,71.7 ,71.2 ,71.7 ,71.3 ,,,,,,,,,,,,,,,
