"Row headings are column A and column headings are rows 5, 28, 51, 74, 97, 123, 147, 171, 195, and 219.  Leading dots indicate sub-parts. ",,,,,,,,,,,,,,,,,
"Table 20. Homeownership Rates for the South, by Age of Householder, ",,,,,,,,,,,,,,,,,
                  and for Married-couple Families: 1982 to 2017,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,1982,1983,1984,1985,1986,1987,1988,1989,,,,,,,,,
,,,,,,,,,,,,,,,,,
"South, total................................",66.7 ,67.0 ,67.0 ,66.4 ,66.1 ,66.3 ,65.8 ,65.9 ,,,,,,,,,
,,,,,,,,,,,,,,,,,
...Less than 25 years..............................................,23.5 ,23.4 ,21.8 ,21.4 ,22.6 ,19.9 ,19.1 ,19.8 ,,,,,,,,,
...25 to 29 years........................................................,41.2 ,41.5 ,41.6 ,40.8 ,39.9 ,39.4 ,37.9 ,37.9 ,,,,,,,,,
...30 to 34 years..........................................................,58.3 ,56.2 ,56.8 ,55.8 ,54.9 ,54.9 ,54.5 ,53.6 ,,,,,,,,,
...35 to 39 years........................................................,68.3 ,67.8 ,67.4 ,66.6 ,66.3 ,65.6 ,64.4 ,64.6 ,,,,,,,,,
...40 to 44 years......................................................,73.4 ,74.3 ,74.1 ,72.7 ,71.6 ,72.5 ,72.2 ,69.9 ,,,,,,,,,
...45 to 49 years........................................................,76.4 ,76.2 ,77.0 ,77.2 ,75.4 ,76.1 ,76.3 ,75.7 ,,,,,,,,,
...50 to 54 years.......................................................,80.2 ,80.3 ,80.2 ,79.6 ,80.0 ,79.0 ,79.4 ,79.9 ,,,,,,,,,
...55 to 59 years........................................................,81.5 ,81.8 ,82.1 ,80.7 ,80.9 ,81.7 ,80.8 ,80.9 ,,,,,,,,,
...60 to 64 years.........................................................,82.6 ,82.7 ,82.6 ,82.8 ,82.6 ,82.4 ,81.1 ,82.0 ,,,,,,,,,
...65 to 69 years.........................................................,81.1 ,81.7 ,82.4 ,82.1 ,81.1 ,81.8 ,82.9 ,82.8 ,,,,,,,,,
...70 to 74 years........................................................,78.6 ,79.2 ,79.7 ,81.5 ,82.6 ,82.9 ,81.4 ,82.6 ,,,,,,,,,
...75 years and over.................................................,76.9 ,78.1 ,77.6 ,76.7 ,76.5 ,77.4 ,77.3 ,77.3 ,,,,,,,,,
,,,,,,,,,,,,,,,,,
…..Less than 35 years.............................................,43.2 ,43.0 ,42.9 ,42.2 ,42.1 ,41.6 ,40.9 ,40.6 ,,,,,,,,,
…..35 to 44 years.........................................................,70.7 ,70.8 ,70.5 ,69.4 ,68.7 ,68.8 ,68.0 ,67.2 ,,,,,,,,,
…..45 to 54 years.....................................................,78.4 ,78.3 ,78.6 ,78.4 ,77.6 ,77.5 ,77.8 ,77.6 ,,,,,,,,,
…..55 to 64 years......................................................,82.0 ,82.3 ,82.4 ,81.8 ,81.7 ,82.1 ,80.9 ,81.4 ,,,,,,,,,
…..65 years and over.............................................,78.8 ,79.6 ,79.7 ,79.8 ,79.7 ,80.3 ,80.2 ,80.5 ,,,,,,,,,
,,,,,,,,,,,,,,,,,
,1990 ,1991 ,1992 ,1993 ,1993r1,1994 ,1995 ,1996 ,,,,,,,,,
,,,,,,,,,,,,,,,,,
"South, total................................",65.7 ,66.1 ,65.8 ,66.1 ,65.7 ,65.6 ,66.7 ,67.5 ,,,,,,,,,
,,,,,,,,,,,,,,,,,
...Less than 25 years..............................................,18.4 ,18.3 ,17.5 ,18.8 ,18.7 ,18.0 ,18.7 ,21.9 ,,,,,,,,,
...25 to 29 years........................................................,37.2 ,35.7 ,36.2 ,35.8 ,35.4 ,35.1 ,36.8 ,38.0 ,,,,,,,,,
...30 to 34 years..........................................................,51.2 ,52.4 ,51.2 ,51.7 ,51.5 ,52.0 ,54.6 ,53.7,,,,,,,,,
...35 to 39 years........................................................,63.9 ,62.6 ,60.2 ,61.9 ,61.5 ,61.7 ,63.4 ,62.4,,,,,,,,,
...40 to 44 years......................................................,70.4 ,70.2 ,69.8 ,69.7 ,69.3 ,68.6 ,69.1 ,70.1,,,,,,,,,
...45 to 49 years........................................................,75.0 ,74.9 ,75.0 ,74.4 ,74.2 ,74.3 ,73.9 ,75.5,,,,,,,,,
...50 to 54 years.......................................................,78.8 ,78.4 ,78.0 ,77.9 ,78.0 ,77.8 ,78.6 ,78.2,,,,,,,,,
...55 to 59 years........................................................,80.2 ,81.3 ,80.6 ,80.5 ,80.7 ,79.6 ,80.6 ,81.4,,,,,,,,,
...60 to 64 years.........................................................,82.2 ,83.1 ,84.2 ,83.0 ,83.2 ,82.0 ,82.8 ,83.9,,,,,,,,,
...65 to 69 years.........................................................,82.5 ,84.3 ,83.0 ,83.3 ,83.2 ,83.2 ,84.2 ,86.3,,,,,,,,,
...70 to 74 years........................................................,83.0 ,82.5 ,83.1 ,83.7 ,83.7 ,84.3 ,84.1 ,85.4,,,,,,,,,
...75 years and over.................................................,78.7 ,79.4 ,78.7 ,78.4 ,78.4 ,79.4 ,80.5 ,81.1,,,,,,,,,
,,,,,,,,,,,,,,,,,
…..Less than 35 years.............................................,39.3 ,39.4 ,39.1 ,39.4 ,39.0 ,38.8 ,40.6 ,41.1,,,,,,,,,
…..35 to 44 years.........................................................,67.0 ,66.3 ,64.8 ,65.6 ,65.2 ,64.9 ,66.1 ,66.2 ,,,,,,,,,
…..45 to 54 years.....................................................,76.7 ,76.5 ,76.3 ,76.0 ,75.9 ,75.9 ,76.0 ,76.6,,,,,,,,,
…..55 to 64 years......................................................,81.2 ,82.2 ,82.4 ,81.8 ,81.9 ,80.8 ,81.7 ,82.6,,,,,,,,,
…..65 years and over.............................................,81.0 ,81.7 ,81.2 ,81.3 ,81.3 ,81.9 ,82.6 ,83.8,,,,,,,,,
,,,,,,,,,,,,,,,,,
,1997 ,1998 ,1999 ,2000 ,2001 ,2002 ,2002r2,2003 ,,,,,,,,,
,,,,,,,,,,,,,,,,,
"South, total................................",68.0 ,68.6 ,69.1,69.6 ,69.8 ,69.7 ,69.7 ,70.1 ,,,,,,,,,
,,,,,,,,,,,,,,,,,
...Less than 25 years..............................................,21.6 ,21.5 ,22.7,23.7 ,23.0 ,23.7 ,23.7 ,23.2 ,,,,,,,,,
...25 to 29 years........................................................,37.7 ,38.7 ,38.4,40.1 ,42.3 ,40.0 ,40.0 ,41.5 ,,,,,,,,,
...30 to 34 years..........................................................,53.9 ,56.5 ,55.7,56.6 ,57.2 ,56.7 ,56.7 ,57.9 ,,,,,,,,,
...35 to 39 years........................................................,63.2 ,64.5 ,65.9,66.9 ,66.4 ,66.9 ,66.9 ,65.7 ,,,,,,,,,
...40 to 44 years......................................................,70.8 ,71.3 ,72.2,72.4 ,71.8 ,71.9 ,71.9 ,72.0 ,,,,,,,,,
...45 to 49 years........................................................,76.2 ,75.5 ,75.3,75.7 ,76.6 ,76.5 ,76.5 ,77.0 ,,,,,,,,,
...50 to 54 years.......................................................,79.7 ,79.7 ,79.8,80.7 ,80.0 ,80.2 ,80.2 ,80.5 ,,,,,,,,,
...55 to 59 years........................................................,81.9 ,81.5 ,82.6,82.8 ,83.6 ,83.1 ,83.1 ,83.0 ,,,,,,,,,
...60 to 64 years.........................................................,83.5 ,84.8 ,84.3,83.4 ,85.0 ,84.6 ,84.6 ,84.3 ,,,,,,,,,
...65 to 69 years.........................................................,85.8 ,85.2 ,86.3,85.8 ,84.5 ,85.4 ,85.4 ,86.3 ,,,,,,,,,
...70 to 74 years........................................................,85.7 ,85.2 ,86.7,86.4 ,86.9 ,87.0 ,87.0 ,86.1 ,,,,,,,,,
...75 years and over.................................................,82.1 ,82.2 ,82.3,83.5 ,83.3 ,83.4 ,83.4 ,84.5 ,,,,,,,,,
,,,,,,,,,,,,,,,,,
…..Less than 35 years.............................................,40.8 ,42.0 ,41.6,42.4 ,43.1 ,42.2 ,42.2 ,43.1 ,,,,,,,,,
…..35 to 44 years.........................................................,66.9,67.9,69.1,69.7,69.2,69.5,69.5 ,69.0 ,,,,,,,,,
…..45 to 54 years.....................................................,77.8 ,77.5 ,77.4,78.0 ,78.2 ,78.3 ,78.3 ,78.6 ,,,,,,,,,
…..55 to 64 years......................................................,82.7 ,83.1 ,83.4,83.1 ,84.2 ,83.8 ,83.8 ,83.6 ,,,,,,,,,
…..65 years and over.............................................,84.1 ,83.9 ,84.6,84.9 ,84.6 ,84.9 ,84.9 ,85.4 ,,,,,,,,,
,,,,,,,,,,,,,,,,,
,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,,,,,,,,,
,,,,,,,,,,,,,,,,,
"South, total................................",70.9,70.8,70.6,70.1,69.9,69.6,69.0,68.3,,,,,,,,,
,,,,,,,,,,,,,,,,,
...Less than 25 years..............................................,26.2,26.5,25.9,26.6,25.7,25.9,24.7,23.6,,,,,,,,,
...25 to 29 years........................................................,40.8,42.2,43.0,41.9,41.6,39.3,38.2,36.8,,,,,,,,,
...30 to 34 years..........................................................,58.8,57.7,56.9,55.8,55.2,54.8,53.1,50.4,,,,,,,,,
...35 to 39 years........................................................,67.9,67.9,68.1,66.6,65.3,65.4,65.1,63.2,,,,,,,,,
...40 to 44 years......................................................,73.2,72.5,71.9,71.0,70.9,69.6,68.7,69.0,,,,,,,,,
...45 to 49 years........................................................,78.3,77.0,76.7,75.5,75.0,74.1,73.3,72.9,,,,,,,,,
...50 to 54 years.......................................................,80.2,80.3,79.3,78.5,78.1,78.6,76.3,75.8,,,,,,,,,
...55 to 59 years........................................................,83.2,82.7,82.6,82.3,81.1,80.9,80.3,79.7,,,,,,,,,
...60 to 64 years.........................................................,84.6,84.6,83.2,84.2,83.8,82.7,83.1,82.6,,,,,,,,,
...65 to 69 years.........................................................,87.7,86.8,85.6,85.1,85.3,86.1,84.8,84.6,,,,,,,,,
...70 to 74 years........................................................,87.7,86.7,86.7,86.9,85.4,85.8,87.0,87.3,,,,,,,,,
...75 years and over.................................................,84.8,84.9,85.3,84.8,84.9,84.4,83.9,84.7,,,,,,,,,
,,,,,,,,,,,,,,,,,
…..Less than 35 years.............................................,43.7,43.8,43.4,42.8,42.6,41.6,40.5,38.9,,,,,,,,,
…..35 to 44 years.........................................................,70.7,70.3,70.0,68.9,68.2,67.5,67.0,66.2,,,,,,,,,
…..45 to 54 years.....................................................,79.2,78.5,78.0,77.0,76.5,76.3,74.8,74.4,,,,,,,,,
…..55 to 64 years......................................................,83.8,83.6,82.9,83.1,82.4,81.7,81.6,81.1,,,,,,,,,
…..65 years and over.............................................,86.3,85.9,85.7,85.4,85.2,85.2,84.9,85.3,,,,,,,,,
,,,,,,,,,,,,,,,,,
,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"South, total................................",67.2,66.7,65.9,65.1,65.0,65.5,,,,,,,,,,,
